"Dataset","Tissue","Species","Method","Replicate","RefinementSelector","RefinementBudgetK","ConfidenceColumn","Brier","BinaryCorrectnessNLL","NLL","ECE","AUROC","AURC","MeanConfidence","Accuracy","CoverageAt0.7","CoverageAt0.8","CoverageAt0.9","AccuracyAt0.7","AccuracyAt0.8","AccuracyAt0.9"
"ZilionisLung","Lung","Human","DeepSeekCell-FullRefined",2,"full",16,"Confidence",0.3105616875,0.862892167079279,0.862892167079279,0.3889375,0.5546875,0.399148941336441,0.7814375,0.5,0.8125,0.625,0.0625,0.615384615384615,0.5,1
"PBMC","PBMC","Human","DeepSeek-Plain",3,"none",0,"LLMConfidence",0.0029125,0.0502790502788273,0.0502790502788273,0.04875,NA,0,0.95125,1,1,1,1,1,1,1
"PBMC","PBMC","Human","DeepSeekCell-Evidence",3,"none",0,"LLMConfidence",0.0029125,0.0502790502788273,0.0502790502788273,0.04875,NA,0,0.95125,1,1,1,1,1,1,1
"PBMC","PBMC","Human","DeepSeekCell-Calibrated",3,"none",0,"Confidence",0.02226675,0.154618897340894,0.154618897340894,0.142,NA,0,0.858,1,1,0.75,0.125,1,1,1
"PBMC","PBMC","Human","DeepSeekCell-SelfRefined",3,"evidence-k",0,"Confidence",0.02226675,0.154618897340894,0.154618897340894,0.142,NA,0,0.858,1,1,0.75,0.125,1,1,1
"PBMC","PBMC","Human","DeepSeekCell-RandomK",3,"random-k",0,"Confidence",0.02226675,0.154618897340894,0.154618897340894,0.142,NA,0,0.858,1,1,0.75,0.125,1,1,1
"PBMC","PBMC","Human","DeepSeekCell-ConfidenceK",3,"confidence-k",0,"Confidence",0.02226675,0.154618897340894,0.154618897340894,0.142,NA,0,0.858,1,1,0.75,0.125,1,1,1
"PBMC","PBMC","Human","DeepSeekCell-FullRefined",3,"full",8,"Confidence",0.02226675,0.154618897340894,0.154618897340894,0.142,NA,0,0.858,1,1,0.75,0.125,1,1,1
"BaronPancreas","Pancreas","Human","DeepSeek-Plain",3,"none",0,"LLMConfidence",0.17960625,0.506029558590832,0.506029558590832,0.200625,0.96875,0.0392570970695971,0.911875,0.75,1,1,0.6875,0.75,0.75,1
"BaronPancreas","Pancreas","Human","DeepSeekCell-Evidence",3,"none",0,"LLMConfidence",0.17960625,0.506029558590832,0.506029558590832,0.200625,0.96875,0.0392570970695971,0.911875,0.75,1,1,0.6875,0.75,0.75,1
"BaronPancreas","Pancreas","Human","DeepSeekCell-Calibrated",3,"none",0,"Confidence",0.1884436875,0.55959133102819,0.55959133102819,0.0726875,0.833333333333333,0.0728578712953713,0.8165625,0.75,1,0.8125,0.0625,0.75,0.769230769230769,1
"BaronPancreas","Pancreas","Human","DeepSeekCell-SelfRefined",3,"evidence-k",0,"Confidence",0.1884436875,0.55959133102819,0.55959133102819,0.0726875,0.833333333333333,0.0728578712953713,0.8165625,0.75,1,0.8125,0.0625,0.75,0.769230769230769,1
"BaronPancreas","Pancreas","Human","DeepSeekCell-RandomK",3,"random-k",0,"Confidence",0.1884436875,0.55959133102819,0.55959133102819,0.0726875,0.833333333333333,0.0728578712953713,0.8165625,0.75,1,0.8125,0.0625,0.75,0.769230769230769,1
"BaronPancreas","Pancreas","Human","DeepSeekCell-ConfidenceK",3,"confidence-k",0,"Confidence",0.1884436875,0.55959133102819,0.55959133102819,0.0726875,0.833333333333333,0.0728578712953713,0.8165625,0.75,1,0.8125,0.0625,0.75,0.769230769230769,1
